index,simulated,observed,difference,
1,185,0,185,
2,25,15,10,
3,30,27,3,
4,77,150,-73,
5,94,9,85,
6,52,6,46,
7,93,121,-28,
8,22,56,-34,
9,27,3,24,
10,9,92,-83,
11,16,0,16,
12,8,45,-37,
13,160,67,93,
14,30,6,24,
15,59,86,-27,
16,39,3,36,
17,16,179,-163,
18,3,20,-17,
19,40,6,34,
20,73,5,68,
21,12,2,10,
22,13,0,13,
23,2,120,-118,
24,21,76,-55,
25,22,70,-48,
26,41,229,-188,
27,65,142,-77,
28,97,0,97,
29,128,5,123,
30,80,14,66,
31,64,94,-30,
32,8,87,-79,
33,62,60,2,
34,62,15,47,
35,68,57,11,
36,22,2,20,
37,14,34,-20,
38,29,12,17,
39,37,73,-36,
40,33,4,29,
41,51,38,13,
42,34,95,-61,
43,25,2,23,
44,13,63,-50,
45,5,94,-89,
46,17,34,-17,
47,27,72,-45,
48,56,216,-160,
49,88,153,-65,
,,,,H0: simulated and obseved are statistically same
,,mean,-10.30612245,H1: simulated and observed are statistically different
,,sd,71.89204989,
,,Count,49,
,,s.e,10.27029284,
,,t_obs,1.003488665,
,,tcrit,2.010634758,
,,t_obs<t_crit,Statistically similar,
,,,,
,,pval,0.320657258,
,,,>0.05,
,,,Statistically similar,
